seed,data_idx,msep,cross_val_error
0,0,0.0003632724258095,11
0,1,0.0003840975375506,11
0,2,0.0003767585188913,11
0,3,0.0003733490248976,11
0,4,0.0003761554360196,11
0,5,0.0003553486096509,11
0,6,0.0003771694774923,11
0,7,0.0003847725073758,11
0,8,0.0003921991308596,11
0,9,0.0003804235910091,11
1,0,0.0003632724258095,11
1,1,0.0003844942027459,10
1,2,0.0003801179816812,9
1,3,0.0003762857154016,9
1,4,0.0003777026663954,10
1,5,0.0003553486096509,11
1,6,0.0003771694774923,11
1,7,0.0003847725073758,11
1,8,0.0003921991308596,11
1,9,0.0003804235910091,11
2,0,0.0003632724258095,11
2,1,0.0003844942027459,10
2,2,0.0003767585188913,11
2,3,0.0003733490248976,11
2,4,0.0003761554360196,11
2,5,0.0003553486096509,11
2,6,0.0003771694774923,11
2,7,0.0003847725073758,11
2,8,0.0003921991308596,11
2,9,0.0003847348863963,9
3,0,0.0003648729049989,10
3,1,0.0003840975375506,11
3,2,0.0003767585188913,11
3,3,0.0003733490248976,11
3,4,0.0003900144549119,8
3,5,0.0003553486096509,11
3,6,0.0003798538449241,10
3,7,0.0003847725073758,11
3,8,0.0003921991308596,11
3,9,0.0003804235910091,11
4,0,0.0003648729049989,10
4,1,0.0003840975375506,11
4,2,0.0003767585188913,11
4,3,0.0003733490248976,11
4,4,0.0003777026663954,10
4,5,0.0003553486096509,11
4,6,0.0003822300522868,9
4,7,0.0003847725073758,11
4,8,0.0003952857808208,9
4,9,0.0003945676684778,8
