seed,fold_number,accuracy,cross_val_error
0,0,1.0,11
0,0,1.0,11
0,1,0.8571428571428571,11
0,2,0.7142857142857143,8
0,3,1.0,11
0,4,1.0,11
0,5,0.8571428571428571,11
0,6,0.5714285714285714,9
0,7,0.8571428571428571,11
0,8,1.0,10
0,9,0.8571428571428571,10
1,0,1.0,10
1,1,0.8571428571428571,11
1,2,0.7142857142857143,8
1,3,0.8571428571428571,9
1,4,1.0,8
1,5,0.8571428571428571,8
1,6,0.5714285714285714,10
1,7,0.8571428571428571,9
1,8,1.0,10
1,9,0.8571428571428571,10
2,0,1.0,11
2,1,0.8571428571428571,11
2,2,0.7142857142857143,8
2,3,1.0,10
2,4,1.0,10
2,5,0.8571428571428571,10
2,6,0.5714285714285714,8
2,7,0.8571428571428571,8
2,8,1.0,10
2,9,0.8571428571428571,8
3,0,1.0,11
3,1,0.5714285714285714,8
3,2,0.7142857142857143,9
3,3,0.8571428571428571,9
3,4,1.0,11
3,5,0.8571428571428571,11
3,6,0.5714285714285714,9
3,7,0.8571428571428571,9
3,8,1.0,9
3,9,0.8571428571428571,9
4,0,1.0,10
4,1,0.8571428571428571,10
4,2,1.0,11
4,3,1.0,11
4,4,1.0,11
4,5,0.8571428571428571,11
4,6,0.5714285714285714,9
4,7,0.8571428571428571,11
4,8,1.0,11
4,9,0.7142857142857143,11
