seed,fold_number,elbo,accuracy,log_prob
1,7,125015.206295815,0.7142857142857143,-23.231952976765392
0,0,125475.1261148614,1.0,-7.365170566830186e-05
1,2,126664.54320822668,1.0,-0.0001248500280995
0,3,123538.55606677772,0.7142857142857143,-22.10706258196409
0,4,121733.15560460364,0.8571428571428571,-9.232355683762872
1,5,126002.98544977262,0.7142857142857143,-20.228755957959983
1,1,126007.56248826446,0.5714285714285714,-39.01843019859417
1,6,127939.9752022425,0.8571428571428571,-14.015539968810089
1,0,125525.6868130148,0.8571428571428571,-11.175795647824383
1,3,126968.90443606013,0.7142857142857143,-22.06323428307905
0,2,127060.54791326646,0.8571428571428571,-14.081147406157069
0,7,125737.1146549736,0.5714285714285714,-38.62345262356665
0,1,126312.63094128895,0.5714285714285714,-41.33441958652128
0,6,124829.92673261475,0.8571428571428571,-13.165761676997054
1,4,126518.96560482506,0.8571428571428571,-9.343374307173422
0,5,123656.5017795764,0.7142857142857143,-19.958011498057267
0,8,128010.59071838396,0.8571428571428571,-9.660612946772364
4,3,127023.59087525944,0.4285714285714285,-48.45839631260333
4,9,123759.1067015612,0.7142857142857143,-29.91885764192137
4,6,122139.05072957062,0.8571428571428571,-13.401428381580986
4,8,128491.3227933282,0.7142857142857143,-19.70091879544669
4,7,125016.77928530722,0.7142857142857143,-23.176750626152213
4,5,123290.16208754107,0.7142857142857143,-19.954715914556743
3,5,123653.7367004269,0.7142857142857143,-19.95584370305354
2,4,124516.683920738,0.8571428571428571,-9.341010933160511
4,1,125565.7205871871,0.7142857142857143,-28.2928037797062
3,1,123410.23508231428,0.7142857142857143,-23.47625645716652
2,7,125019.4623879642,0.7142857142857143,-23.17873108677253
3,9,115164.038199172,1.0,-0.0002575939749611
2,2,121982.16133527964,0.8571428571428571,-10.740477519221791
3,7,123133.1292453204,0.7142857142857143,-18.664529018361964
2,1,123381.03873217903,0.5714285714285714,-35.558513552767664
3,4,124514.65041792428,0.8571428571428571,-9.33853524335223
2,8,128012.14882851194,0.8571428571428571,-9.66060269043949
3,8,128491.14878396236,0.7142857142857143,-19.699889709605987
4,0,125532.2822046592,0.8571428571428571,-15.252266954750509
2,0,125533.1474684996,0.8571428571428571,-15.242929425891182
2,5,126007.35571758932,0.7142857142857143,-20.236021891727923
3,6,124825.70934037626,0.8571428571428571,-13.215971492587231
3,3,123696.90779485734,0.5714285714285714,-35.19965253374467
3,2,129219.67586705432,0.8571428571428571,-14.715023952177969
4,2,118538.6931894389,1.0,-0.0001171867810157
1,9,126670.58230883395,1.0,-0.0001436746494367
1,8,127148.62998828094,0.8571428571428571,-9.662923704837844
3,0,126936.91014871036,0.8571428571428571,-14.751622411064146
2,9,127891.7835710976,0.8571428571428571,-14.174664537834255
2,3,123560.83803599258,0.4285714285714285,-38.00624120844248
2,6,118649.51515086018,0.7142857142857143,-26.584149406793323
5,0,-123948.74179592216,0.8571428571428571,-10.213016280875795
9,9,-127537.23107162684,1.0,-0.0001110590912682
9,8,-128491.7113631221,0.7142857142857143,-19.698757723339064
6,8,-127154.8797452909,0.8571428571428571,-9.665748537695174
6,9,-124667.85933380434,1.0,-0.0001290300220373
9,6,-129570.8494151439,0.8571428571428571,-15.08620157179831
5,6,-123736.76815255138,0.7142857142857143,-27.51217579321237
9,7,-125614.87977291812,0.5714285714285714,-38.68034215354608
6,3,-123708.22841547836,0.5714285714285714,-35.18571596236923
5,7,-126230.05134623316,0.5714285714285714,-33.16818995865083
5,5,-115614.49921547556,0.7142857142857143,-20.41482331645717
6,5,-124190.40612387587,0.5714285714285714,-38.48668700964508
5,0,-123948.74179592216,0.8571428571428571,-10.213016280875795
5,2,-125593.20610231446,0.8571428571428571,-13.514792793196824
6,0,-124622.77463905251,0.8571428571428571,-11.100988649023218
5,4,-122476.19586798352,0.8571428571428571,-9.37533227604691
6,2,-123514.08318221796,0.8571428571428571,-13.925787561717891
6,4,-124300.85601446294,0.8571428571428571,-9.244252636460262
5,1,-123516.92461100116,0.4285714285714285,-48.37844353780809
5,8,-128491.4680857692,0.7142857142857143,-19.6986018909753
5,3,-126581.82977961586,0.7142857142857143,-21.782979642800065
6,6,-119950.8890390442,0.7142857142857143,-27.84245220161116
7,4,-127246.88727261702,0.8571428571428571,-9.242984940384472
6,1,-121413.29322878992,0.5714285714285714,-38.98011984745812
7,1,-123694.2819356962,0.5714285714285714,-38.96442514581034
5,9,-124876.28572316637,1.0,-0.0001032158911374
6,7,-120932.09860641375,0.7142857142857143,-24.82047905135876
7,2,-130277.98640324618,0.8571428571428571,-8.328554996079255
7,3,-122665.24917082036,0.7142857142857143,-23.04703879409724
9,4,-125201.0497603537,0.8571428571428571,-9.342591312155523
7,6,-125225.31632294692,0.8571428571428571,-14.959781018613205
8,6,-125160.10235761073,0.7142857142857143,-27.64932632111119
8,9,-128839.04419024126,0.7142857142857143,-24.758137672821448
8,2,-126679.99671917064,1.0,-0.0001250350975519
8,0,-125536.3564249776,1.0,-7.382166356113973e-05
9,1,-123866.76605262904,0.7142857142857143,-28.250407625713063
7,8,-125894.10808008426,0.4285714285714285,-56.45221438736456
8,1,-126140.35487046826,0.5714285714285714,-39.02302074418669
7,7,-132137.52759621537,0.5714285714285714,-37.2495664068796
9,2,-128193.56047946452,0.8571428571428571,-14.748740060437958
9,0,-126937.6530846518,0.8571428571428571,-14.74487433493246
9,3,-126103.64122057943,0.7142857142857143,-22.921891911855795
7,5,-126007.7256977858,0.7142857142857143,-20.23852182535094
8,5,-126599.2824959976,0.7142857142857143,-19.945880558191043
8,8,-127772.85421480869,0.7142857142857143,-19.68561400104952
7,9,-126434.83762466378,0.7142857142857143,-23.89813896102318
8,4,-122507.51221306354,0.8571428571428571,-9.374283196915076
9,5,-126598.39204926888,0.7142857142857143,-19.94838805236708
8,3,-125939.33928309014,0.7142857142857143,-21.645050262398122
