seed,data_idx,elbo train,elbo test,msep,msep from mode,log_prob
3,5,21958.67028821073,45294.17012093216,0.0001817276694379,0.0001728905961425,481.1102787783482
2,5,21619.773617560044,44606.53736278042,0.0003146126532957,0.0002967523465404,461.8552218176005
3,4,22103.301998099312,46229.40071074292,0.0001686973007281,0.000167418210621,559.2128775410629
4,0,21775.87933667749,47217.161346286535,0.0002519479048879,0.0002496351827365,566.0539750830626
2,1,21504.00292700343,45597.81712864712,0.0002672373591192,0.0002523758742485,495.7925182816059
1,8,22014.14206656069,47546.07549771294,0.0002348058784423,0.0002322062525066,563.1732084530777
2,3,21802.176848499104,47271.90181040764,0.0002835491594924,0.0002751865427603,527.5169645960536
1,4,22080.31877483613,47511.50776553527,0.0002241987544737,0.0002215097542348,549.7887671344265
2,2,21598.99885912612,46591.94224372506,0.0001630700356776,0.0001597656516325,562.4525930325026
1,0,21600.81044311449,47394.87884243578,0.0002029215785793,0.0001996782114361,546.6473260421158
1,3,21798.903837220743,47309.8000398688,0.0003408360554619,0.000334589136705,539.9019490213686
1,5,22125.56526550092,47370.81395871192,0.0002351794390155,0.0002321128573153,566.6168348645015
0,9,21819.61611954496,47297.17579821497,0.0002594466141634,0.0002561409833357,553.7063168625286
2,0,21369.98786706664,46960.21631377936,0.0002119941955477,0.0002086422127199,524.7838881107518
1,2,21878.385232593864,47470.393135719,0.0002165574966717,0.0002111197236034,549.1272124921638
2,4,21845.63443282805,47678.47922645882,0.0002450206016346,0.0002430945627334,565.4462308340758
1,1,21789.4062555302,47666.625038865954,0.0002863792964674,0.000279857190595,553.0281219769008
2,8,21733.530547590926,47267.004881653935,0.0002363565919506,0.0002343523311396,565.7968980952551
3,0,21775.279994335026,47213.07567605004,0.0002517020851267,0.0002491445282056,569.205680365892
1,9,21643.516959048808,47625.42177636176,0.0002402754582157,0.0002367570704091,566.550776617868
1,7,22064.69520671293,47418.41983183101,0.000167366536469,0.0001632518431823,547.0693868865733
3,3,21939.1391628962,47435.67158122733,0.0002990332941183,0.0002919748474541,547.8727718028413
1,6,21337.94516492076,47432.93948594853,0.0002056393196758,0.0002038854294633,559.9851244695274
3,2,21878.22116445005,47573.04913660139,0.0002812687998434,0.0002750410647131,554.1408086350175
2,7,21834.07895812392,47668.879811462015,0.0002528443586635,0.0002492155179193,564.0627106661059
3,1,21993.952493269,47639.90193617717,0.0002679739261917,0.0002625308239705,556.0167021268867
4,7,22259.760020425543,47251.93807845563,0.0001755971575677,0.0001716904728865,549.1097043990058
0,7,22222.255682319403,47247.20904232189,0.0001797287314689,0.0001768101480289,557.5251299481974
4,8,22194.41868791729,47307.465356286615,0.0002765618740001,0.0002743920246632,577.2409444323803
2,9,21455.29083774425,47618.65846383572,0.000314990372749,0.0003108826652934,543.1815256929426
0,5,22291.031530786306,46743.64821308479,0.000318723023352,0.000314732608106,565.0209418731865
0,8,22192.37106079422,47304.99523682147,0.0002794749892456,0.0002771281691818,568.3092781349669
2,6,21291.910290975124,47529.87341687828,0.0001676107179882,0.0001667597046484,569.5224151271705
0,4,22300.56145531312,47330.27528201789,0.0002579432674874,0.0002552735474749,563.3843785403169
4,4,22301.26772896573,47330.4037675038,0.0002561847262458,0.000253581340416,563.5823135809487
0,6,21451.67967533134,47278.68555621803,0.0002120661345219,0.0002102290656306,560.9503180638822
4,6,21453.293952723965,47289.38211817294,0.0001732936476675,0.0001714948388215,551.7266025477911
0,3,22130.76253086888,47356.64841996506,0.0003446188885488,0.0003382873157422,556.2537441782579
4,5,22373.06391178444,47316.84204927459,0.0001786013164726,0.0001733403969075,539.7578162754785
0,0,21775.59765945561,47220.570474267006,0.0002563512794612,0.000254053819463,566.5037228774036
4,2,22017.97260186076,47322.75511072204,0.0002988966653267,0.0002934836987938,565.506040335848
4,1,22167.7339739874,47368.0579665564,0.0002416077948129,0.0002367291763998,563.608231447613
4,3,22102.427439562976,47400.79307023063,0.0003019071154365,0.0002947779180507,552.6294366539405
4,9,21739.481673862785,47290.588581591845,0.0001811746345677,0.0001759694855038,551.1895885891413
0,1,22111.249584596604,46827.9283702597,0.0004550632523894,0.0004504884542169,569.9877737488519
3,7,22211.804675115272,47241.25272190571,0.0001741472047615,0.0001709742608654,552.4950790275643
3,6,21313.94789795577,47476.39122162014,0.0001831599692739,0.0001812942779409,540.8386289720829
3,9,21567.478948216885,47340.400540266186,0.0002669850189106,0.0002619078962168,558.3687339132166
3,8,22039.0631698072,47646.625568561256,0.0004569893309665,0.0004543587728122,571.7336051153407
0,0,21774.10432821512,47222.21056594327,0.0002544375745106,0.0002521588257683,568.478156330501
2,0,21720.24441815354,47221.52038863301,0.0002134838260966,0.0002107926114495,555.394114041113
5,0,21775.020387209952,47226.92975255847,0.0002543269329186,0.0002520551596694,571.0264716273541
4,0,21532.402027213942,47363.96809632704,0.0002259229397718,0.0002232796980567,554.8680785962847
3,0,21130.13461686857,47337.98162616789,0.0002601570316498,0.0002582385150962,575.1294922649276
1,0,21416.234587349,47254.44498310983,0.000215028019483,0.0002141874700472,595.1431728864418
5,1,21955.9404357262,47365.1534778066,0.0002414566154565,0.000235238653407,547.5616192796956
0,1,21925.3512695022,47345.24233932048,0.0002421435277095,0.0002368952759898,569.3061000432049
4,1,21944.59839144908,47397.72416358814,0.0002259401300774,0.0002206648212872,554.2393412186038
2,1,21828.0198766198,46802.77185587585,0.0004802612998004,0.0004758966890927,571.3852079927419
3,1,21934.55441180803,47641.6625831388,0.0002888261563323,0.0002826004994487,544.5692734437971
1,1,21976.62361550145,47384.804211732,0.0002462820726285,0.0002404780452054,564.3767526821853
5,2,22001.555743709207,47329.57953234389,0.0002293077608936,0.0002229092969297,554.3914729985486
0,2,22019.7833815217,47323.74784532189,0.0002908780676611,0.0002853087423904,564.9181110950726
4,2,22019.95596959442,47328.94604389742,0.0002860822633082,0.0002806584981821,575.228185325675
1,2,22018.108296638355,47321.23478229717,0.0002981147636006,0.0002925308010402,564.2506778653728
3,2,21878.65078963712,47474.98462394253,0.00022724235451,0.0002216410846579,549.1935335061535
5,3,21915.582792766392,47609.92089029774,0.0003422288259965,0.0003335887169164,541.3391237539549
2,2,21884.26978015527,46977.1514281854,0.0002973803371979,0.0002945417633119,603.2282666822339
0,3,22130.38900258206,47356.09494968876,0.0003472748428401,0.0003409268434019,557.277624691204
5,4,22300.207090791315,47339.570021975785,0.0002557658186485,0.000253460055007,569.9352304995627
4,3,22130.065999453887,47376.036627188325,0.0003277590587438,0.0003221443393271,566.3363281665338
3,3,22010.92223573849,47467.30099858716,0.0002962384792106,0.0002897435286629,552.8975749047759
1,3,22117.12095873803,47326.780953686684,0.0005355938069827,0.0005299572057065,573.6856692738675
2,3,22005.00126178004,46878.40019271523,0.0007002594285718,0.000695828248508,575.3117448269277
0,4,22300.010761035606,47325.43591697887,0.0002536727189748,0.0002512164824772,563.524631913624
5,5,22143.11367301643,47351.483610108495,0.0002208411637731,0.0002179569785274,560.5921291929162
4,4,22107.185345020145,47451.55116814002,0.0002280437110738,0.0002252543572976,544.8932341364298
1,4,22096.62843447365,47256.81328378618,0.000254997308472,0.0002525597412137,552.3061293001547
3,4,22082.29279184155,47572.08827029914,0.0002316528105756,0.0002291163997757,544.5659560300137
2,4,22300.001964794472,47325.78999669105,0.0002598340870103,0.0002571475782223,560.215752004357
0,5,22294.83205286227,46741.43403112888,0.0003189472969134,0.0003148985983935,561.9588776129963
5,6,21428.215658372268,47254.44827875868,0.0001286377781987,0.000126708951045,560.2318743687906
4,5,22155.966971162707,47562.8980037272,0.0001618788735344,0.0001577258781339,555.3020043645997
3,5,22142.362696085125,47569.916635505855,0.0001538763111908,0.000148779585549,541.3566765846163
1,5,22105.332210430875,47350.6520719789,0.0002105470115982,0.000207223059273,555.6335709971977
5,7,22222.9914730154,47243.15013901517,0.0002287441399564,0.0002254296680857,561.82571049942
2,5,22280.413977546617,46756.80837794393,0.0003180414612281,0.0003143307440211,567.7579913831441
0,6,21452.700105978176,47290.9346594736,0.000212893579909,0.0002111797949971,561.5468062761984
4,6,21450.946693191305,47282.1106697768,0.000212500263942,0.0002106775177035,562.3836071838696
5,8,22173.07205176353,47273.6029983908,0.0003197829669444,0.000316038577886,551.042915358234
3,6,21291.38645023293,47479.031679522246,0.0001802941013981,0.0001782098387223,555.1219445133233
1,6,21320.76742179692,47475.2866737172,0.0001853670630514,0.0001832725560765,539.3011889416462
5,9,21824.003158971667,47307.17648722604,0.0002107664725142,0.0002052265164082,538.3364921561979
4,7,22213.9592046123,47253.03931868076,0.0001753518025392,0.0001718440621205,551.6824591801433
3,7,22148.27407326363,47435.393559183925,0.0001666159598226,0.000162341218219,547.0446032557384
1,7,22216.014886958525,47255.28685153648,0.0001742351685529,0.0001710300163128,557.8640157537775
0,7,22099.2750718128,46976.68197902292,0.0002236281895326,0.000221234333251,598.7592534508094
4,8,21931.09853858128,47284.28946323693,0.000242298040012,0.0002399432236366,556.4007915521961
3,8,22011.72236979194,47470.84964604676,0.0002542448801127,0.0002517104385863,541.7925691757
0,8,22193.087313162163,47303.32010111213,0.0002817412635318,0.0002791882935996,571.2049372739771
1,8,21993.15119260364,47730.4652171731,0.0002915804671918,0.0002902748044917,578.880164369737
4,9,21590.859331831336,47471.28020777926,0.00021812472837,0.0002136158276075,543.8458504877585
3,9,21606.739389425144,47704.20226690173,0.0002417074599124,0.0002386262711933,580.3075180497626
0,9,21823.78646071441,47303.40569006279,0.0002094382316103,0.0002043288397994,538.5322760366785
1,9,21817.4689891506,47300.07025838271,0.0003061007757944283,0.0003017852695385736,555.2247699440672
